,Oakland,Elmhurst
P0010001 Total Population,390724.0,32806.0
P0200001 Households,153791.0,9352.0
P0050001 Total population,390724.0,32806.0
P0050002 Not Hispanic or Latino:,291656.0,14980.0
P0050003 Not Hispanic or Latino: !! White alone,101308.0,907.0
P0050004 Not Hispanic or Latino: !! Black or African American alone,106637.0,11570.0
P0050005 Not Hispanic or Latino: !! American Indian and Alaska Native alone,1214.0,73.0
P0050006 Not Hispanic or Latino: !! Asian alone,65127.0,1315.0
P0050007 Not Hispanic or Latino: !! Native Hawaiian and Other Pacific Islander alone,2081.0,457.0
P0050008 Not Hispanic or Latino: !! Some Other Race alone,1213.0,51.0
P0050009 Not Hispanic or Latino: !! Two or More Races,14076.0,607.0
P0050010 Hispanic or Latino: !! Two or More Races,99068.0,17826.0
P0050011 Hispanic or Latino: !! White alone,33617.0,6114.0
P0050012 Hispanic or Latino: !! Black or African American alone,2834.0,309.0
P0050013 Hispanic or Latino: !! American Indian and Alaska Native alone,1826.0,183.0
P0050014 Hispanic or Latino: !! Asian alone,684.0,30.0
P0050015 Hispanic or Latino: !! Native Hawaiian and Other Pacific Islander alone,141.0,26.0
P0050016 Hispanic or Latino: !! Some Other Race alone,52165.0,10264.0
P0050017 Hispanic or Latino: !! Two or More Races,7801.0,900.0
H0030001 Housing units,169710.0,10714.0
H0030002 Occupied,153791.0,9352.0
H0030003 Vacant,15919.0,1362.0
H0040001 Occupied housing units,153791.0,9352.0
H0040002 Owned with a mortgage or a loan,50353.0,3335.0
H0040003 Owned free and clear,12789.0,695.0
H0040004 Renter occupied,90649.0,5322.0
P0120001 Total population,390724.0,32806.0
P0120002 Male:,189519.0,16185.0
P0120026 Female: !! 85 years and over,201205.0,16621.0
